time,s1,s2,s3,s4,s5,s6
0.0,6.948651871685901,-2.4718758125596887,-2.4715403460160097,-14.635454322462056,4.274710200904552,0.2489267981640193
0.5,15.804977159463387,-19.064176046922313,-16.702389181446776,-6.0879573495901855,15.50646894138908,8.834123943339481
1.0,6.959428526105108,-19.70488764301333,-13.856880454900132,-0.6233420335240929,10.301897753340487,10.265856936555451
1.5,2.1112925242066716,-4.352278297897641,-7.4744775114924735,-5.0790538717145175,3.4979055216536397,10.371628185035938
2.0,7.54120093472117,-6.251834796150501,-1.605884639136276,-4.434197812740696,14.525373325928193,4.632757468967231
2.5,11.009277067529204,-12.075086579575931,-17.290201746328872,0.8468801736093825,5.841026155568989,7.150825438084147
3.0,3.3725506368575866,-4.8779865736329135,-8.634531421325809,-9.746004985921829,13.696601556528499,-0.38879042945686315
3.5,9.559316817842673,-11.640383682258092,-19.17234068242569,-1.9322818865471536,9.793323903035821,11.882445712887561
4.0,2.3471635637398895,-16.947786751785458,-0.14547816711687744,-4.002362161542201,17.387986170542366,6.737207913663147
4.5,6.0117494834771,-3.2972168745429498,-15.431251836476301,-11.617347877874996,4.6353294538461425,18.43863429761054
5.0,9.514527842447908,-12.797263111576651,-16.63405332978694,2.7093735608175837,5.324115200349708,6.791517278377002
5.5,10.757361903275935,-5.818116133657417,-7.929035505510366,-6.361108266816076,10.644872255528824,13.586132017609376
6.0,7.0065942315726915,-6.977321734507486,-5.150421068054155,-0.8245629821013756,9.84418210929263,1.1098225298143944
6.5,1.9107257138884783,-9.888967358942416,-4.669383916595052,-9.681989965568395,8.503910905313317,10.55351520984334
7.0,0.8745036070595908,-9.627341826727346,-14.228334601027438,-3.181060566126959,9.855363366962317,5.827225617259875
7.5,13.096705140097205,-12.323749617294812,-9.29167144403048,1.9134476619333372,4.642272582909009,13.951603875100618
8.0,8.635745347972085,-10.368193398162346,-8.951202079707357,-8.177577994482913,3.0427834241995284,3.042359486983427
8.5,-0.29568003622465255,-8.1291169012958,-14.42671790931452,-2.5160972180882464,7.0749215298146595,5.491368420436546
9.0,6.181829467988018,-18.955245133119075,-19.976923019038956,-4.141419863410123,-1.836673820433834,3.9164462892184093
9.5,3.7441460262973605,-14.02382933607644,-12.629789650180133,3.3989547809747576,5.956643122428926,13.350091213706541
10.0,6.91413444973845,-9.240469415459177,-7.522478793434528,-10.6827562942232,11.98372900994415,8.412459365148175
10.5,5.207299730880866,-10.012434735781552,-13.73155912056806,-7.475066975115297,5.170689959027066,8.447441516425044
11.0,2.9522267544232674,-5.79787096730478,-11.854431631813892,-8.52077293851831,5.009343683683747,-0.13464686022383887
11.5,-4.980662637358158,-11.373032378465828,-17.157677498546747,-1.1479577530040652,-0.4775804405480297,12.613235671888324
12.0,5.002247803288119,-21.72389089797406,-11.573916607161662,-1.1169348950875517,14.173710327990134,-2.586656224945301
12.5,0.7999905861621261,-6.7909647572019605,-5.922956753531086,-7.966929628279738,4.651843381135465,17.24130096047407
13.0,5.3651237486859085,-9.305040296077939,-1.743685236360779,-3.6117686136997555,2.2903445037090506,7.214259174564048
13.5,7.35755974333584,-7.597917310007913,-6.901418733102998,-9.330526883651928,7.329296584570756,-4.407283592293634
14.0,3.917419949322524,-4.2505956112879915,-10.83394606375046,1.2497829384762094,5.347818034279289,-4.955399190771221
14.5,11.23334805376101,-11.235991115056748,-4.673971337864302,-5.826267081549208,-0.4437803589891036,5.884013058923564
